timestamp,method_key,method_label,runs,workers,input_path,output_video_path,output_video_with_audio_path,frames,width,height,fps_original,duration_s,read_s,filter_s,filter_compute_s,write_s,pipeline_total_s,effective_fps,transfer_h2d_s,transfer_d2h_s,transfer_total_s,audio_merge_s,codec,max_frames,peak_rss_mb,checksum,output_hash,status,error
2026-06-18T00:12:43,secuencial,secuencial,3,1,/mnt/sda1/code/facu/paralelos/tp-final/entrada/video_facultad_30s_h264.mp4,/mnt/sda1/code/facu/paralelos/tp-final/resultados/videos/sepia_secuencial_sin_audio.mp4,/mnt/sda1/code/facu/paralelos/tp-final/resultados/videos/sepia_secuencial_con_audio.mp4,1799,3840,2160,59.940063091,30.013315000,10.709139058,9528.508398672,9528.508398672,74.851415591,9614.068953321,0.187143926,,,,5.529611422,mp4v,1799,592.980468750,3788871516465,7685a7d3304f5e10,ok,
2026-06-17T15:55:14,pytorch_cpu,PyTorch CPU,3,4,/mnt/sda1/code/facu/paralelos/tp-final/entrada/video_facultad_30s_h264.mp4,/mnt/sda1/code/facu/paralelos/tp-final/resultados/videos/sepia_pytorch_cpu_sin_audio.mp4,/mnt/sda1/code/facu/paralelos/tp-final/resultados/videos/sepia_pytorch_cpu_con_audio.mp4,1799,3840,2160,59.940063091,30.013315000,13.422055085,447.948624676,447.948624676,91.757641248,553.128321009,3.268386978,,,,3.411755297,mp4v,1799,1378.945312500,3788871516465,7685a7d3304f5e10,ok,
2026-06-17T13:29:47,pytorch_gpu,PyTorch GPU,3,1,/mnt/sda1/code/facu/paralelos/tp-final/entrada/video_facultad_30s_h264.mp4,/mnt/sda1/code/facu/paralelos/tp-final/resultados/videos/sepia_pytorch_gpu_sin_audio.mp4,/mnt/sda1/code/facu/paralelos/tp-final/resultados/videos/sepia_pytorch_gpu_con_audio.mp4,1799,3840,2160,59.940063091,30.013315000,19.370645541,171.181775733,67.815761699,95.956987249,286.509408523,6.330923749,71.806332326,31.559681708,103.366014034,4.174194598,mp4v,1799,1430.342447917,3788871516465,7685a7d3304f5e10,ok,
